text	sentiment	processed_text
"RT @BettyFckinWhite: -Can you answer this very direct question?
-I should be president. 
-So, no?
#GOPDebates"	Negative	can you answer this very direct question i should be president so no gopdebates
RT @keatingthomas: Trump just said the political system is broken because you can buy politicians, and then explained exactly how many he's…	Negative	trump just said the political system is broken because you can buy politicians and then explained exactly how many he is …
RT @Lattisaw: No minority in their right mind should be voting for anyone of these #GOP candidates! They don't have a clue about our issues…	Negative	no minority in their right mind should be voting for anyone of these gop candidates they do not have a clue about our issues …
Caught myself up on @NBC #Hannibal last night…and lost my appetite watching the #GOPDebate debacle! Good figure!	Negative	caught myself up on hannibal last night … and lost my appetite watching the gopdebate debacle good figure
RT @RWSurferGirl: So @megynkelly posed for adult pictures.should we bring that up? #GOPDebate  #GOPDebates	Negative	so posed for adult picturesshould we bring that up gopdebate gopdebates
The Democrat Party may be finished if Black AmeriCANs are waking up to the reality of how Donald Trump SHALL... http://t.co/MCd9CQVi0b	Negative	the democrat party may be finished if black americans are waking up to the reality of how donald trump shall
"RT @RWSurferGirl: It is very disappointing that Fox News is not conducting a ""Fair &amp; Balanced"" Debate. 🇺🇸 #GOPDebate  #GOPDebates"	Negative	it is very disappointing that fox news is not conducting a fair balanced debate 🇺 🇸 gopdebate gopdebates
The ONE time we want to use the Amazon Prime streaming and it's down... grrr ruined my Sunday night! @AmazonUK	Negative	the one time we want to use the amazon prime streaming and it is down grr ruined my sunday night
REMINDER: Family is important to Republican 2016 candidates, just not gay families. http://t.co/Cs0UsasSQS #GOPDebate http://t.co/FmafDUbmfb	Negative	reminder family is important to republican candidates just  gay families gopdebate
"RT @BettyBowers: Asking about God violates  Article VI, paragraph 3 of the Constitution: ""There will be no religious test for office."" #GOP…"	Negative	asking about god violates article vi paragraph of the constitution there will be  irreligious test for office gop …
I can't believe Ted Cruz just referenced Reagan and the hostage release. Most people don't know about weapons for hostages.#GOPDebates	Negative	i can not believe ted cruz just referenced reagan and the hostage release most people do not know about weapons for hostagesgopdebates
I have till Thursday to know every damn word to every damn song Eric church is going to sing	Negative	i have till thursday to know every damn word to every damn song eric church is going to sing
RT @AmyMek: Shut Up .@RepDWStweets-&gt;Typical Lib tries 2 convince Americans they R Victims 2 advance overreaching pub policies &amp; secure Vote…	Negative	shut up typical lib tries convince americans they are victims advance overreaching pub policies secure vote …
Shout out to Bernie Sanders for slipping under the radar of these democrat jokes #GOPDebates	Negative	shout out to bernie sanders for slipping under the radar of these democrat jokes gopdebates
Fox's Todd Starnes Bashes #MegynKelly: 'Are You Freaking Kidding Me?' http://t.co/Qw7Xw0awxO (VIDEO)  #GOPDebate http://t.co/XD19F7JMSI	Negative	fox is todd starnes bashes megynkelly are you freaking kidding me video gopdebate
"@whitemamba23 100%!!! Hilary hanging with Kimye and Trump is dead center at #GOPDebates but a 3rd party is ""stupid""??"	Negative	hilary hanging with kimye and trump is dead center at gopdebates but a party is stupid
My dad & the builder are talking about City and it turns out the builder is sat the row behind me at the Aston Villa game\u002c fuck sake	Negative	my dad the builder are talking about city and it turns out the builder is sat the row behind me at the aston villa game fuck sake
RT @RWSurferGirl: Tonight we learned that @GovChristie thinks he can remove our civil rights to fight terrorism. #GOPDebate  #GOPDebates	Negative	tonight we learned that thinks he can remove our civil rights to fight terrorism gopdebate gopdebates
I noticed all the Huddlestone haters were conspicuous by their absence yesterday\u002c particularly when he assisted Bale for the 1st goal #THFC	Negative	i noticed all the huddlestone haters were conspicuous by their absence yesterday particularly when he assisted bale for the goal thfc
Kinda sucks\u002c he missed my classes graduation over something he may or may not have done	Negative	kinda sucks he missed my classes graduation over something he may or may not have done
Simply half-catching morning-after clips of #GOPDebate, I have 2 wonder y anyone would want any of these arrogant hard-hearted folk as prez?	Negative	simply halfcatching morningafter clips of gopdebate i have wonder why anyone would want any of these arrogant hardhearted folk as prez
#GOPDebate got you down? Just remember, these things happened in #America. http://t.co/rrjvRkAzCz	Negative	gopdebate got you down just remember these things happened in america
The night #JohnStewart signed off from #TDS he killed 2 birds with one stone: #GOPDebate on #FoxDebate . No need to further comment on them	Negative	the night johnstewart signed off from tds he killed birds with one stone gopdebate on foxdebate no need to further comment on them
@vlanda Who's the real illegal alien #GOPDebate - Farrakhan on Immigration &amp; the Mexican Bor... https://t.co/lkLfFN2LFy via @YouTube	Negative	who is the real illegal alien gopdebate farrakhan on immigration the mexican bor via
RT @SupermanHotMale: Dear Jeb Bush, Your Record, Sir is clear, you are a fucking ememy of the voting public... PERIOD. #GopDebates	Negative	dear jeb bush your record sir is clear you are a fucking ememy of the voting public period gopdebates
why can't the election be this November I don't want to hear about Donald trump for another year	Negative	why can not the election be this november i do not want to hear about donald trump for another year
RT @RWSurferGirl: So @megynkelly posed for adult pictures.should we bring that up? #GOPDebate  #GOPDebates	Negative	so posed for adult picturesshould we bring that up gopdebate gopdebates
RT @Shakestweetz: Here is your regular reminder that the Republican Party values fetuses more highly than the people who carry them. #GOPDe…	Negative	here is your regular reminder that the republican party values fetuses more highly than the people who carry them gopde …
I\u2019m still obsessed with Werth...not on a Jeff Carter level more on a Ryan Lochte level. I think it may be sexual obsession	Negative	ium still obsessed with werthnot on a jeff carter level more on a ryan lochte level i think it may be sexual obsession
The #GOPDebate is my new favorite comedy sitcom.	Negative	the gopdebate is my new favorite comedy sitcom
Who invited Jeb Bush to a gay wedding?!??! #GOPDebacle #GOPDebates	Negative	who invited jeb bush to a gay wedding gopdebacle gopdebates
RT @RWSurferGirl: Is it just me or does anyone else want to punch Chris Wallace in the face? #GOPDebate  #GOPDebates 🇺🇸	Negative	is it just me or does anyone else want to punch chris wallace in the face gopdebate gopdebates 🇺 🇸
my sister just sat up and asked where katie was going to sleep. she is a little too old for an imaginary friend\u002c don\u2019t ya think?	Negative	my sister just sat up and asked where katie was going to sleep she is a little too old for an imaginary friend donu t yes think
RT @RWSurferGirl: Fox News is obviously trying to influence the makeup of the Republican field. 🇺🇸  #GOPDebate  #GOPDebates	Negative	fox news is obviously trying to influence the makeup of the republican field 🇺 🇸 gopdebate gopdebates
RT @RWSurferGirl: The candidates don't have to attack @realDonaldTrump Fox is doing it for them by stoping him from speaking. 🇺🇸 #GOPDebate…	Negative	the candidates do not have to attack fox is doing it for them by stoping him from speaking 🇺 🇸 gopdebate …
"RT @RWSurferGirl: I'd really like to see how long each candidate was given to speak.  It didn't seem ""Fair &amp; Balanced"" at all. 🇺🇸 #GOPDebat…"	Negative	id really like to see how long each candidate was given to speak it did not seem fair balanced at all 🇺 🇸 gopdebat …
RT @cristela9: Trump looks like an Oompa Loompa that made something out of himself... #GOPDebate	Negative	trump looks like an oompa loompa that made something out of himself gopdebate
Ben Carson is saying military didnt hv capability to strike Assad. Goodbye, dude. Youre nuts. #gopdebates #FoxDebate	Negative	ben carson is saying military didnt hv capability to strike assad goodbye dude youre nuts gopdebates foxdebate
Anyone know where I can buy arolladora tickets? For pico Rivera? On the 14th?? WSS sold out:(	Negative	anyone know where i can buy arolladora tickets for pico rivera on the wss sold out
RT @RWSurferGirl: We the American people pick the next President of United States not FOX News 🇺🇸 #GOPDebate  #GOPDebates	Negative	we the american people pick the next president of united states  fox news 🇺 🇸 gopdebate gopdebates
I may be the odd man out on this but I don\u2019t get all the buzz on this Kendrick Lamar. Decent I guess\u002c but not stellar.	Negative	i may be the odd man out on this but i donu t get all the buzz on this kendrick lamar decent i guess but  stellar
RT @YaakovSchapiro: My #GOPDebate analysis, 2)Jeb Bush = Saw some uncomfortable moments in him, could use more attractiveness, Needs more g…	Negative	my gopdebate analysis jeb bush saw some uncomfortable moments in him could use more attractiveness needs more g …
I just need to chill. Can\u2019t wait to unleash some aggression at Black Dahlia Murder tomorrow. #GonnaEndALife	Negative	i just need to chill canu t wait to unleash some aggression at black dahlia murder tomorrow gonnaendalife
RT @monaeltahawy: Seriously: GOP voters think God talks to presidential candidates? #ChristianBrotherhood #GOPDebates	Negative	seriously gop voters think god talks to presidential candidates christianbrotherhood gopdebates
RT @PhoenixWomanMN: @LanceMannion No. He lied like a rug, but at least he lied coherently.  #Jeb can't even do that, it turns into word sal…	Negative	no he lied like a rug but at least he lied coherently jeb can not even do that it turns into word sal …
RT @TrotAlex: Sorry @edhenry I was not offended by @realDonaldTrump ! As a woman I was offended by @megynkelly !!! #GOPDebates #KellyFile	Negative	sorry i was not offended by as a woman i was offended by gopdebates kellyfile
@Livestream #GOPDebate as a blogger  the debate was about making sure Donald Trump doesn't pull a Rose Perot, that is how Clinton won	Negative	gopdebate as a blogger the debate was about making sure donald trump does not pull a rose perot that is how clinton won
RT @melaninbarbie: I'm just looking at this debate like #GOPDebate #KKKorGOP http://t.co/GEAsg40bQD	Negative	instant message just looking at this debate like gopdebate kkorgop
RT @RWSurferGirl: Fox News is obviously trying to influence the makeup of the Republican field. 🇺🇸  #GOPDebate  #GOPDebates	Negative	fox news is obviously trying to influence the makeup of the republican field 🇺 🇸 gopdebate gopdebates
RT @RWSurferGirl: So @megynkelly posed for adult pictures.should we bring that up? #GOPDebate  #GOPDebates	Negative	so posed for adult picturesshould we bring that up gopdebate gopdebates
RT @wokkitout: The names you call women is not about being politically correct, it's about showing respect  @realDonaldTrump #GOPDebate	Negative	the names you call women is not about being politically correct it is about showing respect gopdebate
RT @RWSurferGirl: We the American people pick the next President of United States not FOX News 🇺🇸 #GOPDebate  #GOPDebates	Negative	we the american people pick the next president of united states  fox news 🇺 🇸 gopdebate gopdebates
RT @RWSurferGirl: I need to order another green apple martini to process what the hell just happened. 🇺🇸 #GOPDebate  #GOPDebates	Negative	i need to order another green apple martini to process what the hell just happened 🇺 🇸 gopdebate gopdebates
RT @SupermanHotMale: You liar, Trump, You came out against the war in Iraq because your other businesses went belly up #GopDebates	Negative	you liar trump you came out against the war in iraq because your other businesses went belly up gopdebates
I think Arthur Anderson could have run the #GOPDebate more honest than #FOXNEWSDEBATE	Negative	i think arthur anderson could have run the gopdebate more honest than foxnewsdebate
Very disappointing!!! Energy policy finds little room in Republican debate http://t.co/Uua4a1OX9F (via @DCExaminer) #EagleFord #GOPDebate	Negative	very disappointing energy policy finds little room in republican debate via eagleford gopdebate
RT @SeaBassThePhish: What if Donald Trump has been a liberal this whole time and he's just running to prove how stupid the GOP is? #GOPDeba…	Negative	what if donald trump has been a liberal this whole time and he is just running to prove how stupid the gop is gopdeba …
RT @RWSurferGirl: Thanks Fox News, you're raising @realDonaldTrump 's ratings. 🇺🇸 #GOPDebate  #GOPDebates	Negative	thanks fox news youre raising s ratings 🇺 🇸 gopdebate gopdebates
RT @VishalDisawar: Dear @FoxNews, how about you stop using the word 'illegal' when talking about immigration. No human being is illegal. #G…	Negative	dear how about you stop using the word illegal when talking about immigration  nonhuman being is illegal g …
RT @zellieimani: Many Americans are outraged over emerging videos of....*omg finally police violence *...planned parent hood. #GOPDebate	Negative	many americans are outraged over emerging videos ofomg finally police violence planned parent hood gopdebate
